"Name","WHO_Region","Cases_cumulative_total","Cases_cumulative_total_per_100000_population","Cases_newly_reported_in_last_7_days","Cases_newly_reported_in_last_7_days_per_100000_population","Cases_newly_reported_in_last_24_hours","Deaths_cumulative_total","Deaths_cumulative_total_per_100000_population","Deaths_newly_reported_in_last_7_days","Deaths_newly_reported_in_last_7_days_per_100000_population","Deaths_newly_reported_in_last_24_hours"
"Global","Global",633601048,"8128.7801309336965",1922285,"24.661941711295743",191731,6596542,"84.63028858890023",5140,"0.06594359337770409",615
"United States of America","Americas",96752266,29230058,0,0,0,1064975,321742,0,0,0
"India","South-East Asia",44667967,3236799,3157,229,656,530553,38446,33,2,7
"France","Europe",36200221,55658945,181395,"278.9",32756,154487,237528,415,638,84
"Germany","Europe",36180077,43503075,162348,195208,19725,156410,188068,92,111,30
"Brazil","Americas",34938073,"16436.85",60514,28469,14946,688764,324034,197,93,62
"Republic of Korea","Western Pacific",26462319,51614472,370780,723202,49418,29925,58368,354,"0.69",63
"The United Kingdom","Europe",23977637,35320442,19000,27988,1749,196241,289074,236,348,0
"Italy","Europe",23823192,39943993,0,0,0,179985,301778,0,0,0
"Japan","Western Pacific",23519801,18596188,563564,445588,0,47959,37919,623,493,0
"Russian Federation","Europe",21525567,"14750.16",36493,25006,5546,391333,268157,431,295,60
"Türkiye","Europe",16919638,20061448,0,0,0,101203,119995,0,0,0
"Spain","Europe",13551539,28630447,0,0,0,115357,243716,0,0,0
"Viet Nam","Western Pacific",11509975,"11824.68",2435,2502,0,43167,44347,1,1,0
"Australia","Western Pacific",10456663,41006708,0,0,0,15068,"59.09",0,0,0
"Argentina","Americas",9721718,21510237,1486,3288,0,130011,287662,8,18,0
"China","Western Pacific",9420476,640288,161789,10996,24683,29592,2011,480,33,89
"Netherlands","Europe",8531447,"49009.94",3898,22393,0,22886,131471,16,92,0
"Iran (Islamic Republic of)","Eastern Mediterranean",7559001,8999566,239,285,0,144613,172173,6,7,0
"Mexico","Americas",7118933,5521431,1121,869,0,330444,256292,7,5,0
"Indonesia","South-East Asia",6596812,2411789,46364,16951,6699,159323,58248,288,105,32
"Poland","Europe",6348380,16724688,2225,5862,358,118267,311572,57,"0.15",15
"Colombia","Americas",6312657,12406247,2325,4569,1298,141881,278838,31,61,19
"Portugal","Europe",5529977,"53710.43",0,0,0,25305,245777,0,0,0
"Austria","Europe",5506697,61865604,25405,285415,4344,21124,"237.32",35,393,1
"Ukraine","Europe",5329536,"12186.32",0,0,0,110403,252443,0,0,0
"Greece","Europe",5306482,49507392,56194,524268,0,34024,317431,136,1269,0
"Malaysia","Western Pacific",4960179,15325277,19723,60937,3457,36583,113029,61,188,9
"Chile","Americas",4859241,25419491,40242,210513,6904,62102,324866,179,936,50
"Israel","Europe",4703249,54338013,8470,97856,1378,11810,136444,11,127,0
"Thailand","South-East Asia",4698373,6731196,3166,4536,0,33037,47331,42,"0.06",0
"Belgium","Europe",4627186,40158039,3518,30532,2,33021,"286.58",38,"0.33",0
"Canada","Americas",4377070,11597298,18819,49862,0,47118,124842,309,819,0
"Switzerland","Europe",4276839,49416843,9003,104025,0,13692,158205,4,46,0
"Peru","Americas",4177786,12670765,12599,38211,2403,217212,"658.78",83,252,9
"Czechia","Europe",4167377,38969523,2746,25678,76,41746,390371,34,318,0
"South Africa","Africa",4036165,6805352,4541,7657,0,102371,172607,0,0,0
"Philippines","Western Pacific",4022127,3670458,8088,7381,1153,64441,58807,112,102,9
"Denmark","Europe",3345095,57448586,3942,"67.7",574,7470,"128.29",40,687,1
"Romania","Europe",3293346,"17038.51",2359,12205,441,67249,347921,25,129,3
"Sweden","Europe",2622790,25395956,2934,28409,0,20928,202642,14,136,0
"Iraq","Eastern Mediterranean",2462272,"6121.63",465,1156,0,25361,63052,0,0,0
"Serbia","Europe",2416113,"34881.13",4422,"63.84",674,17332,"250.22",31,448,6
"Hungary","Europe",2157995,22089045,4431,45355,0,48184,493207,73,747,0
"Singapore","Western Pacific",2148794,36729374,14475,247421,2088,1699,29041,6,103,1
"Bangladesh","South-East Asia",2036306,1236453,197,"0.12",0,29430,"17.87",4,2,0
"New Zealand","Western Pacific",1872273,38825851,0,0,0,2154,44668,35,726,0
